Name,Count,Rank,Percent,Overall_Rank,Total_Count
WEIL,6034,3879,95.2,5079,6338
DOAN,6033,3881,37.9,2094,15902
RAWSON,6032,3882,95.1,5076,6340
GULLEY,6031,3883,60.4,3293,9986
CREIGHTON,6031,3883,84.6,4567,7126
MCBEE,6029,3885,84.9,4578,7105
WILKIE,6029,3885,87,4680,6927
MCHALE,6029,3885,96.2,5139,6267
HUSS,6028,3888,95.9,5121,6286
POGUE,6021,3889,82.6,4480,7288
KIEFFER,6020,3890,95.7,5118,6291
RUBLE,6018,3891,96,5135,6270
BIVENS,6017,3892,66,3582,9113
PLANK,6017,3892,96.5,5162,6235
DELOACH,6015,3894,66.6,3617,9031
MURRELL,6014,3895,56.7,3125,10600
MUNRO,6013,3896,91.8,4928,6551
SCHATZ,6013,3896,96.2,5151,6250
ATHERTON,6011,3898,93.4,5000,6435
FRYER,6010,3899,80.1,4373,7506
TIBBETTS,6009,3900,94.3,5052,6373
MCMICHAEL,6004,3901,82.6,4488,7271
DIONNE,6004,3901,93.2,4996,6443
KEMPF,6002,3903,96.3,5164,6232
JEROME,5999,3904,73.3,3987,8179
SINGLETARY,5998,3905,46.2,2559,12979
SPARKMAN,5998,3905,80.9,4424,7418
MATHER,5998,3905,90.9,4884,6602
BEAUDOIN,5998,3905,94.2,5058,6364
FERRANTE,5997,3909,94.4,5062,6355
STEPHEN,5996,3910,67.1,3655,8934
BACKUS,5996,3910,87.9,4749,6822
WIMMER,5996,3910,96,5154,6246
BOSTIC,5991,3913,56.4,3122,10615
LADNER,5991,3913,94.5,5077,6339
LEO,5990,3915,78.4,4296,7638
DENISON,5985,3916,94.5,5083,6336
THEIS,5984,3917,96.5,5177,6204
TURNEY,5983,3918,82.4,4496,7263
RIDLEY,5980,3919,53.9,2987,11099
MOHLER,5979,3920,96.1,5168,6224
PEEBLES,5977,3921,70,3811,8540
ROBY,5976,3922,66.5,3630,8986
STEGALL,5976,3922,80.2,4400,7454
SPECK,5975,3924,95.1,5129,6282
ARCHIBALD,5974,3925,76.6,4214,7794
RIGSBY,5974,3925,85.9,4666,6955
LAROSE,5972,3927,84.6,4602,7055
MCREYNOLDS,5970,3928,80.4,4418,7424
PALM,5969,3929,87.5,4754,6820
SHREVE,5969,3929,95,5129,6282
DUDA,5969,3929,97.2,5225,6139
RAYNOR,5968,3932,79.4,4366,7520
STEBBINS,5968,3932,94.3,5088,6329
WEILAND,5966,3934,97.3,5229,6133
STOCKER,5963,3935,91.4,4945,6521
RALEY,5960,3936,92.8,5012,6424
FUQUA,5959,3937,74.2,4080,8031
HALVORSON,5957,3938,96.3,5191,6184
SADOWSKI,5956,3939,96.5,5202,6172
BLANCHETTE,5954,3940,94.7,5126,6284
INGALLS,5952,3941,95,5141,6264
ARD,5950,3942,83.3,4557,7147
LOWMAN,5950,3942,83.6,4575,7114
NOLTE,5948,3944,96.3,5196,6176
